Team,Variable,ADF Statistic,p-value
Tottenham Hotspur,League Standing,-1.560797945143416,0.5032501755756634
Tottenham Hotspur,Net Profit Margin,-1.6088414030135458,0.4791508137897791
Tottenham Hotspur,Firm Size,-5.548420209915548,1.640681692666794e-06
Tottenham Hotspur,Leverage,0.6362364212349312,0.9884755602030689
Tottenham Hotspur,Growth,-2.1379796033872416,0.229519481912144
Tottenham Hotspur,Return on Equity,-1.3927913202381166,0.5857271293270808
Tottenham Hotspur,Goal Ratio,-2.001957101243434,0.28571563834619573
Trabzonspor,League Standing,-1.536442559194751,0.5154129259151179
Trabzonspor,Net Profit Margin,-3.702774417131878,0.004074298291043877
Trabzonspor,Firm Size,-3.1538344426361546,0.022817325120421405
Trabzonspor,Leverage,0.42886115025403576,0.9825427455819421
Trabzonspor,Growth,-2.3557787849040657,0.1546083145042383
Trabzonspor,Return on Equity,-1.7449647699102617,0.4081067353566249
Trabzonspor,Goal Ratio,-1.9771026193051382,0.29670215398030636
Udinese,League Standing,-2.9999999999999964,0.03489440027534556
Udinese,Net Profit Margin,0.48017029863446004,0.9842577622888344
Udinese,Firm Size,-1.7201590436808774,0.4207570015202988
Udinese,Leverage,-1.4680301130967663,0.5492629716874875
Udinese,Growth,-4.493097163715285,0.00020236512556785375
Udinese,Return on Equity,-15.404274299896803,3.184971355180244e-28
Udinese,Goal Ratio,-0.8962008813254387,0.7892209471764473
Valencia,League Standing,-1.125931162537581,0.7046208690818907
Valencia,Net Profit Margin,-1.073459158052748,0.7255392221265018
Valencia,Firm Size,-0.23477237569175632,0.9342479190925969
Valencia,Leverage,-0.35524043963791646,0.9173080754681426
Valencia,Growth,-2.2982618639618564,0.1725291678035064
Valencia,Return on Equity,0.8517829671384136,0.9924276878448729
Valencia,Goal Ratio,-1.512131328341554,0.5275018363468662
Villarreal,League Standing,-3.105669345222744,0.026136466520557507
Villarreal,Net Profit Margin,-0.37707537317804984,0.9138565806597827
Villarreal,Firm Size,-0.6749629648486044,0.8531285536440889
Villarreal,Leverage,-2.1962707638614405,0.207601737653885
Villarreal,Growth,-1.9458821038190997,0.3107938704534788
Villarreal,Return on Equity,-0.9959498050021249,0.7547386487758182
Villarreal,Goal Ratio,-0.048008415439274386,0.9543771176521447
West Ham United,League Standing,-1.634820069902568,0.4649687185069425
West Ham United,Net Profit Margin,-1.5854427386339227,0.49090186726040025
West Ham United,Firm Size,-0.9344436513323426,0.7764181621465807
West Ham United,Leverage,-1.3650583042304683,0.5989083008897752
West Ham United,Growth,-1.8054205063555533,0.37777390288774837
West Ham United,Return on Equity,-2.454336958832659,0.1269834952704308
West Ham United,Goal Ratio,-1.4209446440479074,0.5721948301343993
